label,message
spam,Your WhatsApp account will be banned in 24 hours. Verify at 09219190307
ham,Dinner at Saravana Bhavan tonight? My treat!
spam,Aadhaar Alert: Your document needs verification. Contact +919529538670 immediately.
ham,Let's meet for chai at the usual place at 5 PM?
ham,Did you finish the project report? Need to submit it by EOD.
spam,Free recharge! Your number has been selected for ₹500 talktime. Dial +917347158332
spam,Income Tax Refund: You have unclaimed refund of ₹12500. Call +917305954031
spam,Aadhaar Alert: Your document needs verification. Contact 07108143669 immediately.
spam,Aadhaar Alert: Your document needs verification. Contact 919403759508 immediately.
ham,Let's meet for chai at the usual place at 5 PM?
ham,Don't forget to bring milk on your way back from office.
spam,Bank Alert: Your SBI card has won a lottery of ₹50000. Call 917223862244 to process.
ham,I'll be 15 minutes late for dinner. Traffic is bad on MG Road.
spam,Paytm: Congratulations! You've won ₹1000 cashback. Claim at 917493720257
spam,Flipkart Big Billion Days: You've won a smartphone! Claim at 919590083020
ham,Let's meet for chai at the usual place at 5 PM?
spam,Amazon India: You're a lucky winner of ₹20000 voucher. Call 919037024944
spam,Airtel: Your account has won a special bonus. Dial 09222426165 to redeem now.
ham,Dinner at Saravana Bhavan tonight? My treat!
spam,Airtel: Your account has won a special bonus. Dial 919088560690 to redeem now.
spam,Amazon India: You're a lucky winner of ₹20000 voucher. Call +919158839252
spam,Airtel: Your account has won a special bonus. Dial 917760714095 to redeem now.
spam,You have won a free trip to Goa! Text YES to 07919849651 to claim your package.
ham,I'll be 15 minutes late for dinner. Traffic is bad on MG Road.
spam,Amazon India: You're a lucky winner of ₹20000 voucher. Call 917127853502
spam,Bank Alert: Your SBI card has won a lottery of ₹50000. Call 07018862600 to process.
ham,Can you pick up the kids from school today? I have a meeting.
ham,Remember to wish Papa happy birthday at midnight!
spam,Your SIM has been deactivated. Reactivate now by calling 918880742816
ham,Can you pick up the kids from school today? I have a meeting.
spam,Jio: Congratulations! You've been selected for 10GB free data. Claim at 919537519270
ham,Let's meet for chai at the usual place at 5 PM?
spam,LIC Policy: You're eligible for bonus amount. Contact 08175080076 to claim.
spam,Income Tax Refund: You have unclaimed refund of ₹12500. Call 07109845156
spam,Amazon India: You're a lucky winner of ₹20000 voucher. Call 917712748881
spam,Paytm: Congratulations! You've won ₹1000 cashback. Claim at 919427908940
spam,Aadhaar Alert: Your document needs verification. Contact 919517998382 immediately.
spam,You have won a free trip to Goa! Text YES to 919707621565 to claim your package.
ham,Movie tickets booked for Saturday evening. Show at 7 PM.
ham,Your parcel has been delivered. Check at the security desk.
ham,Remember to wish Papa happy birthday at midnight!
ham,I'll be 15 minutes late for dinner. Traffic is bad on MG Road.
spam,Bank Alert: Your SBI card has won a lottery of ₹50000. Call +918131149881 to process.
ham,Happy Diwali! May this festival bring joy and prosperity to your family.
ham,Don't forget to pay the electricity bill today to avoid late fee.
spam,Airtel: Your account has won a special bonus. Dial +919912240803 to redeem now.
ham,Movie tickets booked for Saturday evening. Show at 7 PM.
spam,Your WhatsApp account will be banned in 24 hours. Verify at +917209291858
ham,Don't forget to bring milk on your way back from office.
spam,Jio: Congratulations! You've been selected for 10GB free data. Claim at 917921998197
ham,Movie tickets booked for Saturday evening. Show at 7 PM.
ham,Don't forget to pay the electricity bill today to avoid late fee.
ham,Don't forget to pay the electricity bill today to avoid late fee.
spam,Your WhatsApp account will be banned in 24 hours. Verify at +918253180899
ham,Can you pick up the kids from school today? I have a meeting.
spam,Paytm: Congratulations! You've won ₹1000 cashback. Claim at 918511383184
spam,URGENT: Your PAN card has been blocked. Verify immediately at +917338452560
ham,Your doctor appointment is confirmed for tomorrow 11 AM.
spam,Aadhaar Alert: Your document needs verification. Contact 919181130261 immediately.
ham,Your doctor appointment is confirmed for tomorrow 11 AM.
ham,Movie tickets booked for Saturday evening. Show at 7 PM.
spam,Jio: Congratulations! You've been selected for 10GB free data. Claim at 07671002203
ham,Don't forget to bring milk on your way back from office.
spam,Paytm: Congratulations! You've won ₹1000 cashback. Claim at 08734093257
ham,Can you pick up the kids from school today? I have a meeting.
ham,Don't forget to pay the electricity bill today to avoid late fee.
spam,Flipkart Big Billion Days: You've won a smartphone! Claim at 07448354439
spam,Your SIM has been deactivated. Reactivate now by calling +919697866882
ham,I'll be 15 minutes late for dinner. Traffic is bad on MG Road.
ham,Your doctor appointment is confirmed for tomorrow 11 AM.
ham,Don't forget to pay the electricity bill today to avoid late fee.
spam,Aadhaar Alert: Your document needs verification. Contact 08025021681 immediately.
ham,Happy Diwali! May this festival bring joy and prosperity to your family.
ham,Don't forget to pay the electricity bill today to avoid late fee.
spam,Aadhaar Alert: Your document needs verification. Contact +917961902983 immediately.
ham,Don't forget to bring milk on your way back from office.
spam,Income Tax Refund: You have unclaimed refund of ₹12500. Call 09069848501
ham,Did you finish the project report? Need to submit it by EOD.
spam,Aadhaar Alert: Your document needs verification. Contact 918301302861 immediately.
ham,Meeting postponed to 3 PM tomorrow. Please update your calendar.
ham,Call me when you're free. Need to discuss something important.
ham,I'll be 15 minutes late for dinner. Traffic is bad on MG Road.
ham,Meeting postponed to 3 PM tomorrow. Please update your calendar.
ham,I'll be 15 minutes late for dinner. Traffic is bad on MG Road.
ham,Call me when you're free. Need to discuss something important.
ham,Remember to wish Papa happy birthday at midnight!
ham,Let's meet for chai at the usual place at 5 PM?
ham,Did you finish the project report? Need to submit it by EOD.
spam,Jio: Congratulations! You've been selected for 10GB free data. Claim at 919150780738
ham,Call me when you're free. Need to discuss something important.
spam,Your WhatsApp account will be banned in 24 hours. Verify at 09358955744
ham,Don't forget to bring milk on your way back from office.
ham,Your parcel has been delivered. Check at the security desk.
ham,Can you pick up the kids from school today? I have a meeting.
ham,Let's meet for chai at the usual place at 5 PM?
ham,Let's meet for chai at the usual place at 5 PM?
spam,Win ₹10000 cash prize! Call 917306531621 to claim your reward. Hurry!
spam,Airtel: Your account has won a special bonus. Dial +918329542332 to redeem now.
spam,Income Tax Refund: You have unclaimed refund of ₹12500. Call 918201855810
ham,Can you pick up the kids from school today? I have a meeting.
spam,You have won a free trip to Goa! Text YES to 919246558755 to claim your package.
spam,Win ₹10000 cash prize! Call 07496786074 to claim your reward. Hurry!
spam,Airtel: Your account has won a special bonus. Dial +919377752295 to redeem now.
spam,You have won a free trip to Goa! Text YES to 918228048865 to claim your package.
spam,Bank Alert: Your SBI card has won a lottery of ₹50000. Call 917333105279 to process.
spam,Win ₹10000 cash prize! Call 09317334619 to claim your reward. Hurry!
spam,Airtel: Your account has won a special bonus. Dial 918938522834 to redeem now.
spam,Free recharge! Your number has been selected for ₹500 talktime. Dial +919266722482
spam,You have won a free trip to Goa! Text YES to 09074109321 to claim your package.
spam,URGENT: Your PAN card has been blocked. Verify immediately at +918257254606
ham,"Hi beta, when are you coming home? Mom has made your favorite food."
ham,Happy Diwali! May this festival bring joy and prosperity to your family.
ham,Let's meet for chai at the usual place at 5 PM?
ham,Movie tickets booked for Saturday evening. Show at 7 PM.
ham,Can you pick up the kids from school today? I have a meeting.
ham,Can you pick up the kids from school today? I have a meeting.
ham,I'll be 15 minutes late for dinner. Traffic is bad on MG Road.
ham,Happy Diwali! May this festival bring joy and prosperity to your family.
spam,LIC Policy: You're eligible for bonus amount. Contact 07775415403 to claim.
ham,Happy Diwali! May this festival bring joy and prosperity to your family.
spam,Free recharge! Your number has been selected for ₹500 talktime. Dial 07804847737
ham,Your doctor appointment is confirmed for tomorrow 11 AM.
spam,URGENT: Your PAN card has been blocked. Verify immediately at +917635185417
ham,Your parcel has been delivered. Check at the security desk.
spam,Flipkart Big Billion Days: You've won a smartphone! Claim at +917258502512
ham,"Hi beta, when are you coming home? Mom has made your favorite food."
spam,Flipkart Big Billion Days: You've won a smartphone! Claim at +917316085836
ham,Movie tickets booked for Saturday evening. Show at 7 PM.
spam,Flipkart Big Billion Days: You've won a smartphone! Claim at 917956687765
ham,Dinner at Saravana Bhavan tonight? My treat!
ham,Movie tickets booked for Saturday evening. Show at 7 PM.
ham,Don't forget to bring milk on your way back from office.
spam,Your WhatsApp account will be banned in 24 hours. Verify at 918553338353
ham,Meeting postponed to 3 PM tomorrow. Please update your calendar.
ham,Let's meet for chai at the usual place at 5 PM?
spam,You have won a free trip to Goa! Text YES to +919061545278 to claim your package.
spam,Free recharge! Your number has been selected for ₹500 talktime. Dial 917817911490
spam,Paytm: Congratulations! You've won ₹1000 cashback. Claim at 917202721596
ham,Meeting postponed to 3 PM tomorrow. Please update your calendar.
ham,Don't forget to bring milk on your way back from office.
spam,Flipkart Big Billion Days: You've won a smartphone! Claim at +919450108162
spam,URGENT: Your PAN card has been blocked. Verify immediately at 07155252044
spam,Your SIM has been deactivated. Reactivate now by calling 08782517197
spam,Your WhatsApp account will be banned in 24 hours. Verify at +917127084252
ham,Meeting postponed to 3 PM tomorrow. Please update your calendar.
ham,Meeting postponed to 3 PM tomorrow. Please update your calendar.
spam,LIC Policy: You're eligible for bonus amount. Contact 08558571299 to claim.
ham,Can you pick up the kids from school today? I have a meeting.
ham,Movie tickets booked for Saturday evening. Show at 7 PM.
ham,Did you finish the project report? Need to submit it by EOD.
spam,LIC Policy: You're eligible for bonus amount. Contact 918125487283 to claim.
ham,Happy Diwali! May this festival bring joy and prosperity to your family.
ham,Remember to wish Papa happy birthday at midnight!
spam,Income Tax Refund: You have unclaimed refund of ₹12500. Call 07395958099
spam,URGENT: Your PAN card has been blocked. Verify immediately at +917855190669
ham,Don't forget to bring milk on your way back from office.
ham,Remember to wish Papa happy birthday at midnight!
ham,"Hi beta, when are you coming home? Mom has made your favorite food."
spam,Free recharge! Your number has been selected for ₹500 talktime. Dial 09011020905
spam,Win ₹10000 cash prize! Call 919310741412 to claim your reward. Hurry!
ham,Don't forget to pay the electricity bill today to avoid late fee.
spam,LIC Policy: You're eligible for bonus amount. Contact 07999408498 to claim.
spam,Amazon India: You're a lucky winner of ₹20000 voucher. Call 09619127310
spam,Income Tax Refund: You have unclaimed refund of ₹12500. Call +919064723459
ham,Your parcel has been delivered. Check at the security desk.
spam,Amazon India: You're a lucky winner of ₹20000 voucher. Call 918085466328
ham,Let's meet for chai at the usual place at 5 PM?
spam,Your WhatsApp account will be banned in 24 hours. Verify at 919871978912
spam,Flipkart Big Billion Days: You've won a smartphone! Claim at 09079961861
ham,I'll be 15 minutes late for dinner. Traffic is bad on MG Road.
spam,You have won a free trip to Goa! Text YES to +917091145756 to claim your package.
ham,Can you pick up the kids from school today? I have a meeting.
ham,Movie tickets booked for Saturday evening. Show at 7 PM.
spam,Win ₹10000 cash prize! Call 918274174425 to claim your reward. Hurry!
ham,Can you pick up the kids from school today? I have a meeting.
spam,Paytm: Congratulations! You've won ₹1000 cashback. Claim at +917814288207
spam,Aadhaar Alert: Your document needs verification. Contact 919245691816 immediately.
ham,Your parcel has been delivered. Check at the security desk.
spam,Bank Alert: Your SBI card has won a lottery of ₹50000. Call +917893927880 to process.
ham,Happy Diwali! May this festival bring joy and prosperity to your family.
spam,LIC Policy: You're eligible for bonus amount. Contact +918349000332 to claim.
ham,"Hi beta, when are you coming home? Mom has made your favorite food."
ham,Call me when you're free. Need to discuss something important.
spam,Income Tax Refund: You have unclaimed refund of ₹12500. Call 918459919380
ham,Can you pick up the kids from school today? I have a meeting.
spam,Your WhatsApp account will be banned in 24 hours. Verify at 07738291697
spam,LIC Policy: You're eligible for bonus amount. Contact 918165883971 to claim.
ham,Movie tickets booked for Saturday evening. Show at 7 PM.
spam,URGENT: Your PAN card has been blocked. Verify immediately at 07421703741
spam,Your WhatsApp account will be banned in 24 hours. Verify at +918324541846
ham,Dinner at Saravana Bhavan tonight? My treat!
ham,Did you finish the project report? Need to submit it by EOD.
ham,Happy Diwali! May this festival bring joy and prosperity to your family.
spam,Airtel: Your account has won a special bonus. Dial 919912453849 to redeem now.
ham,Remember to wish Papa happy birthday at midnight!
spam,LIC Policy: You're eligible for bonus amount. Contact 08151659413 to claim.
spam,Amazon India: You're a lucky winner of ₹20000 voucher. Call +918535801305
ham,Did you finish the project report? Need to submit it by EOD.
ham,Can you pick up the kids from school today? I have a meeting.
ham,Call me when you're free. Need to discuss something important.
spam,Income Tax Refund: You have unclaimed refund of ₹12500. Call 07257634815
spam,Win ₹10000 cash prize! Call 09933266855 to claim your reward. Hurry!
ham,Can you pick up the kids from school today? I have a meeting.
spam,You have won a free trip to Goa! Text YES to +919398590877 to claim your package.
spam,Jio: Congratulations! You've been selected for 10GB free data. Claim at +917007958639
ham,Can you pick up the kids from school today? I have a meeting.
ham,Remember to wish Papa happy birthday at midnight!
spam,Flipkart Big Billion Days: You've won a smartphone! Claim at 917969553119
spam,Airtel: Your account has won a special bonus. Dial 917043098890 to redeem now.
spam,Jio: Congratulations! You've been selected for 10GB free data. Claim at +918913977627
spam,Income Tax Refund: You have unclaimed refund of ₹12500. Call +918854994962
spam,Aadhaar Alert: Your document needs verification. Contact 917376061793 immediately.
ham,I'll be 15 minutes late for dinner. Traffic is bad on MG Road.
ham,"Hi beta, when are you coming home? Mom has made your favorite food."
ham,Dinner at Saravana Bhavan tonight? My treat!
spam,Aadhaar Alert: Your document needs verification. Contact 917887283613 immediately.
spam,Jio: Congratulations! You've been selected for 10GB free data. Claim at 07353089743
spam,Aadhaar Alert: Your document needs verification. Contact +919639466534 immediately.
spam,Your WhatsApp account will be banned in 24 hours. Verify at +917855633774
spam,Airtel: Your account has won a special bonus. Dial +917616499357 to redeem now.
ham,Remember to wish Papa happy birthday at midnight!
ham,Meeting postponed to 3 PM tomorrow. Please update your calendar.
ham,Did you finish the project report? Need to submit it by EOD.
spam,Bank Alert: Your SBI card has won a lottery of ₹50000. Call +919991354392 to process.
spam,Your SIM has been deactivated. Reactivate now by calling 918437200701
ham,Call me when you're free. Need to discuss something important.
spam,Your SIM has been deactivated. Reactivate now by calling +919738830242
spam,Free recharge! Your number has been selected for ₹500 talktime. Dial 09639265178
spam,You have won a free trip to Goa! Text YES to 07219699684 to claim your package.
spam,Bank Alert: Your SBI card has won a lottery of ₹50000. Call 919318143491 to process.
ham,Did you finish the project report? Need to submit it by EOD.
ham,Remember to wish Papa happy birthday at midnight!
ham,Dinner at Saravana Bhavan tonight? My treat!
spam,Free recharge! Your number has been selected for ₹500 talktime. Dial 07938710752
spam,LIC Policy: You're eligible for bonus amount. Contact +919818783660 to claim.
spam,Airtel: Your account has won a special bonus. Dial +917937240122 to redeem now.
spam,Win ₹10000 cash prize! Call 07981662438 to claim your reward. Hurry!
ham,"Hi beta, when are you coming home? Mom has made your favorite food."
ham,Remember to wish Papa happy birthday at midnight!
spam,You have won a free trip to Goa! Text YES to 07501610865 to claim your package.
ham,Remember to wish Papa happy birthday at midnight!
ham,Let's meet for chai at the usual place at 5 PM?
spam,Aadhaar Alert: Your document needs verification. Contact 919876407740 immediately.
spam,URGENT: Your PAN card has been blocked. Verify immediately at 917191583143
ham,Your parcel has been delivered. Check at the security desk.
spam,Aadhaar Alert: Your document needs verification. Contact 918181407297 immediately.
spam,Airtel: Your account has won a special bonus. Dial +918141946676 to redeem now.
spam,Free recharge! Your number has been selected for ₹500 talktime. Dial 09534129739
spam,Paytm: Congratulations! You've won ₹1000 cashback. Claim at 917847444117
ham,Did you finish the project report? Need to submit it by EOD.
ham,Your doctor appointment is confirmed for tomorrow 11 AM.
ham,Dinner at Saravana Bhavan tonight? My treat!
ham,Happy Diwali! May this festival bring joy and prosperity to your family.
ham,Your parcel has been delivered. Check at the security desk.
spam,Bank Alert: Your SBI card has won a lottery of ₹50000. Call +918303924500 to process.
spam,Your SIM has been deactivated. Reactivate now by calling 08162030005
spam,Income Tax Refund: You have unclaimed refund of ₹12500. Call 919626777983
spam,Win ₹10000 cash prize! Call 09241179917 to claim your reward. Hurry!
spam,URGENT: Your PAN card has been blocked. Verify immediately at 07856638446
spam,Free recharge! Your number has been selected for ₹500 talktime. Dial 917665952377
ham,Your parcel has been delivered. Check at the security desk.
spam,Paytm: Congratulations! You've won ₹1000 cashback. Claim at +917582708076
ham,Don't forget to bring milk on your way back from office.
ham,Let's meet for chai at the usual place at 5 PM?
ham,Don't forget to bring milk on your way back from office.
spam,Aadhaar Alert: Your document needs verification. Contact +919126061807 immediately.
ham,Happy Diwali! May this festival bring joy and prosperity to your family.
ham,Remember to wish Papa happy birthday at midnight!
spam,Your SIM has been deactivated. Reactivate now by calling 917528107759
ham,Remember to wish Papa happy birthday at midnight!
ham,Your parcel has been delivered. Check at the security desk.
spam,Your SIM has been deactivated. Reactivate now by calling +917549857617
spam,You have won a free trip to Goa! Text YES to 08148769196 to claim your package.
spam,Paytm: Congratulations! You've won ₹1000 cashback. Claim at +918637343052
spam,Bank Alert: Your SBI card has won a lottery of ₹50000. Call 919230654873 to process.
ham,Don't forget to bring milk on your way back from office.
ham,Your parcel has been delivered. Check at the security desk.
ham,I'll be 15 minutes late for dinner. Traffic is bad on MG Road.
ham,Meeting postponed to 3 PM tomorrow. Please update your calendar.
ham,Meeting postponed to 3 PM tomorrow. Please update your calendar.
ham,Don't forget to pay the electricity bill today to avoid late fee.
ham,Call me when you're free. Need to discuss something important.
spam,Your SIM has been deactivated. Reactivate now by calling +918157406132
ham,Your parcel has been delivered. Check at the security desk.
spam,Paytm: Congratulations! You've won ₹1000 cashback. Claim at 08247980748
spam,Aadhaar Alert: Your document needs verification. Contact 08116926813 immediately.
spam,Your SIM has been deactivated. Reactivate now by calling +918237378517
spam,You have won a free trip to Goa! Text YES to +917214874793 to claim your package.
ham,I'll be 15 minutes late for dinner. Traffic is bad on MG Road.
ham,I'll be 15 minutes late for dinner. Traffic is bad on MG Road.
spam,Your WhatsApp account will be banned in 24 hours. Verify at 09572279556
spam,Your WhatsApp account will be banned in 24 hours. Verify at 09025057207
spam,Income Tax Refund: You have unclaimed refund of ₹12500. Call +918257040818
spam,LIC Policy: You're eligible for bonus amount. Contact 918351658592 to claim.
ham,I'll be 15 minutes late for dinner. Traffic is bad on MG Road.
ham,Your doctor appointment is confirmed for tomorrow 11 AM.
ham,Remember to wish Papa happy birthday at midnight!
ham,"Hi beta, when are you coming home? Mom has made your favorite food."
spam,Win ₹10000 cash prize! Call 918600384210 to claim your reward. Hurry!
spam,Your WhatsApp account will be banned in 24 hours. Verify at 08057462447
spam,Your SIM has been deactivated. Reactivate now by calling 08108098494
ham,Movie tickets booked for Saturday evening. Show at 7 PM.
ham,Meeting postponed to 3 PM tomorrow. Please update your calendar.
spam,Jio: Congratulations! You've been selected for 10GB free data. Claim at 07962855556
spam,URGENT: Your PAN card has been blocked. Verify immediately at +919715887801
ham,I'll be 15 minutes late for dinner. Traffic is bad on MG Road.
spam,Bank Alert: Your SBI card has won a lottery of ₹50000. Call +918527919087 to process.
ham,Remember to wish Papa happy birthday at midnight!
spam,Bank Alert: Your SBI card has won a lottery of ₹50000. Call 08490891124 to process.
ham,Movie tickets booked for Saturday evening. Show at 7 PM.
spam,Aadhaar Alert: Your document needs verification. Contact 09191184380 immediately.
spam,URGENT: Your PAN card has been blocked. Verify immediately at 08570546945
spam,Win ₹10000 cash prize! Call 919433728533 to claim your reward. Hurry!
spam,Win ₹10000 cash prize! Call 919604767765 to claim your reward. Hurry!
ham,Let's meet for chai at the usual place at 5 PM?
ham,Your doctor appointment is confirmed for tomorrow 11 AM.
spam,URGENT: Your PAN card has been blocked. Verify immediately at 09510576477
spam,LIC Policy: You're eligible for bonus amount. Contact +919837808687 to claim.
spam,Amazon India: You're a lucky winner of ₹20000 voucher. Call 09617986749
ham,Happy Diwali! May this festival bring joy and prosperity to your family.
ham,I'll be 15 minutes late for dinner. Traffic is bad on MG Road.
ham,Can you pick up the kids from school today? I have a meeting.
ham,Let's meet for chai at the usual place at 5 PM?
ham,Movie tickets booked for Saturday evening. Show at 7 PM.
ham,Don't forget to bring milk on your way back from office.
spam,Paytm: Congratulations! You've won ₹1000 cashback. Claim at 09077097299
spam,Bank Alert: Your SBI card has won a lottery of ₹50000. Call +917161181534 to process.
spam,Win ₹10000 cash prize! Call 08968225090 to claim your reward. Hurry!
ham,Your doctor appointment is confirmed for tomorrow 11 AM.
ham,Let's meet for chai at the usual place at 5 PM?
spam,Win ₹10000 cash prize! Call 08168876325 to claim your reward. Hurry!
spam,Flipkart Big Billion Days: You've won a smartphone! Claim at +917697069402
spam,Amazon India: You're a lucky winner of ₹20000 voucher. Call +918039972119
ham,Call me when you're free. Need to discuss something important.
ham,Remember to wish Papa happy birthday at midnight!
spam,Paytm: Congratulations! You've won ₹1000 cashback. Claim at 917191806350
spam,Bank Alert: Your SBI card has won a lottery of ₹50000. Call 917540004163 to process.
ham,Meeting postponed to 3 PM tomorrow. Please update your calendar.
spam,Flipkart Big Billion Days: You've won a smartphone! Claim at +917450615170
ham,Happy Diwali! May this festival bring joy and prosperity to your family.
spam,Your WhatsApp account will be banned in 24 hours. Verify at 919184443771
spam,URGENT: Your PAN card has been blocked. Verify immediately at 919082654072
spam,You have won a free trip to Goa! Text YES to +918332117863 to claim your package.
spam,Bank Alert: Your SBI card has won a lottery of ₹50000. Call 07518004028 to process.
spam,URGENT: Your PAN card has been blocked. Verify immediately at +917836581409
spam,Your SIM has been deactivated. Reactivate now by calling 08172592281
ham,I'll be 15 minutes late for dinner. Traffic is bad on MG Road.
ham,Happy Diwali! May this festival bring joy and prosperity to your family.
spam,LIC Policy: You're eligible for bonus amount. Contact 09544323758 to claim.
